id,xmax,ymax,zmax,xmin,ymin,zmin,length,height,width,area
418043,-4.8233,4.2954,2.5842,-5.8901,3.3962000000000003,1.841,0.0,0.0,0.0,0
418046,-4.8233,3.3657,2.5842,-5.8901,2.4666,1.841,0.0,0.0,0.0,0
418049,-4.9545,2.4361,2.5842,-5.426900000000001,1.8400999999999998,1.841,0.0,0.0,0.0,0
418055,-3.781,1.7791,2.5842,-4.8433,0.9192,1.841,0.0,0.0,0.0,0
418636,0.2249,0.8734999999999999,2.5842,-0.8526,0.0124,1.841,0.0,0.0,0.0,0
418639,1.4181000000000001,0.3309,2.5842,0.2859,-0.614,1.841,0.0,0.0,0.0,0
418642,-5.7913,-0.6445000000000001,2.5842,-6.2648,-1.3455000000000001,1.841,0.0,0.0,0.0,0
418645,-4.9195,0.3309,2.5842,-6.0509,-0.614,1.841,0.0,0.0,0.0,0
418648,-3.781,0.8734999999999999,2.5842,-4.8586,0.0124,1.841,0.0,0.0,0.0,0
419210,-0.9136,0.4696,2.5842,-1.098,0.0122,1.841,0.0,0.0,0.0,0
419219,1.6166999999999998,-1.376,2.5842,0.9462,-2.5482,1.841,0.0,0.0,0.0,0
419727,-4.2038,-1.3144,2.5842,-5.579,-2.5482,1.841,0.0,0.0,0.0,0
419730,-5.579,-1.376,2.5842,-6.2495,-2.5482,1.841,0.0,0.0,0.0,0
419826,1.632,-0.6445000000000001,2.5842,1.1595,-1.3455000000000001,1.841,0.0,0.0,0.0,0
458524,1.4203999999999999,0.3309,12.7554,0.1001,-0.9516,12.0122,0.0,0.0,0.0,0
458527,1.1619,-1.4661000000000002,12.7554,-0.2706,-2.5482,12.0122,0.0,0.0,0.0,0
458912,0.22510000000000002,0.8658,12.7554,-0.8404,0.0124,12.0122,0.0,0.0,0.0,0
479960,-4.2888,5.377400000000001,2.5842,-5.448099999999999,3.9753,1.841,0.0,0.0,0.0,0
482943,1.2564,4.2954,2.5842,0.18960000000000002,3.3962000000000003,1.841,0.0,0.0,0.0,0
482946,0.8144,5.377400000000001,2.5842,-0.34490000000000004,3.9753,1.841,0.0,0.0,0.0,0
483281,-0.19140000000000001,4.5143,2.5842,-1.5194,3.3352,1.841,0.0,0.0,0.0,0
483287,1.2564,3.3657,2.5842,0.18960000000000002,2.4666,1.841,0.0,0.0,0.0,0
483290,0.7933,2.4361,2.5842,0.3208,1.8400999999999998,1.841,0.0,0.0,0.0,0
483293,0.2097,1.7791,2.5842,-0.8526,0.9192,1.841,0.0,0.0,0.0,0
775246,-1.5194,4.5143,2.5842,-2.2814,3.4627,1.841,0.0,0.0,0.0,0
775522,-2.3523,4.5722000000000005,2.5842,-3.1143,3.4627,1.841,0.0,0.0,0.0,0
775525,-3.1143,4.5143,2.5842,-4.4423,3.3352,1.841,0.0,0.0,0.0,0
775602,0.9462,-1.3144,2.5842,-0.43520000000000003,-2.5482,1.841,0.0,0.0,0.0,0
781715,-0.3011,-1.4661000000000002,12.7554,-1.246,-2.5482,12.0122,0.0,0.0,0.0,0
781969,-1.8846,-0.5213,12.7554,-3.6804,-1.7709000000000001,12.0122,0.0,0.0,0.0,0
785678,1.2572,4.2954,12.7554,0.18960000000000002,3.3962000000000003,12.0122,0.0,0.0,0.0,0
785681,1.2572,3.3657,12.7554,0.18960000000000002,2.4666,12.0122,0.0,0.0,0.0,0
785684,0.8,5.377400000000001,12.7554,-0.34490000000000004,3.9779000000000004,12.0122,0.0,0.0,0.0,0
785687,0.7933,2.4361,12.7554,0.3208,1.8400999999999998,12.0122,0.0,0.0,0.0,0
786151,-0.3753,4.5143,12.7554,-1.308,3.3865,12.0122,0.0,0.0,0.0,0
786154,-1.308,4.5143,12.7554,-3.6804,2.7678,12.0122,0.0,0.0,0.0,0
