host,target
1079581,727766
1107489,4097980
1107608,728343
3912252,1511285
3913234,820047
1400227,725300
1079086,727154
1107543,820348
1079046,1511287
1107658,728483
418055,1511279
1079225,1511293
1079592,4097802
1079386,681660
1079046,727048
4024046,3996820
4024043,4124132
3913234,679298
4023357,3992656
3912238,726810
4023157,586448
1079086,1511289
4120320,680086
1395453,4094631
4058432,1509219
1107633,4119646
1079049,680084
3912252,679297
1395439,1021040
1107568,728243
1079394,1222273
1079188,1511293
418636,1511281
1079646,4119640
1079086,727148
1107478,728005
4023357,3992658
4024046,3992665
1002781,819113
1395453,649517
1079057,1511287
4120311,850341
4023357,3992657
4119994,3993432
1079046,727049
4023357,3992731
4024601,3994635
4024043,3993171
1107518,728110
4024604,3993264
418055,726576
1002781,818443
1107608,728349
1400225,2833712
1400224,1218984
1107518,728105
1079448,681662
1107481,683236
4120198,3996850
1107658,1511311
1079592,1222380
1079584,4097875
4024046,3992664
3911870,1511285
1107661,4098638
1107669,4098678
4023361,3992658
1079383,727526
1107661,1511313
1079584,682448
4024043,3992665
1395425,1507979
4120335,4119649
1107698,728588
418636,341137
1079225,727387
4058432,375049
3911870,726915
1079581,727771
4024601,3993271
1079383,727527
4024597,3993316
1079250,820195
1107608,1511309
4119994,4119684
1079394,1511295
1400224,2833757
4023157,1511277
1079621,1511301
1395453,375168
1079592,1222379
1079057,1222061
3912238,1511283
1002781,4119625
1107579,1222592
1079196,1222167
1079581,727765
1079386,681661
4024601,3996243
1079423,727632
1079057,4097232
1002781,607437
4024604,3993266
4024607,3993266
1107633,684026
1400224,1218983
1107608,728344
4024607,4082095
4120198,3994864
1395447,1646444
1079383,727532
1079448,820200
1107481,4098117
4024604,3993320
1079646,820274
4119994,4000361
1079250,4119634
3911870,726910
4024597,3993271
1107669,1222697
1107571,684025
4024597,3993272
4024601,4124241
418055,726571
1107518,1511305
1079394,4097608
4120335,820565
4120335,820496
1079185,727293
4024597,3993318
4024597,4120481
1079049,4097376
1079621,727871
418648,1511279
1079196,1222168
1395425,1392086
1400224,4094844
4058432,375050
1079049,680085
1079646,820343
3912252,679296
1079196,1511291
1079225,727393
1400225,2833718
1079621,727866
1395425,1392087
3912254,1511283
4120198,3993122
4024604,3993265
1395439,1021045
1079394,1222274
1400225,2833757
418648,4095026
418055,726570
1107571,4098456
1079581,1511299
4024046,3992727
1079049,1511289
4023361,3993180
1107698,1511313
1107568,728249
1107543,820417
1107661,684813
1079383,1511295
1079592,1511299
1079188,680872
4120198,3993120
4024607,4000357
1107579,4098350
1079423,1511297
1400227,725295
418636,4095104
1107669,1511311
4024604,3995016
1107489,1511303
1079086,727149
1107489,1222486
1107543,683238
1395447,4119655
1079584,1511301
4024046,4082386
1107568,1511307
4024607,3994351
4120311,2304239
4023357,3992729
4023361,4082274
1107579,1511307
1079188,4097485
1079188,680873
3912254,4096995
4024607,3996221
483293,1511281
4024043,3996818
3912254,1221955
4120198,4119663
1079584,682449
1395447,854901
1079185,1511291
4120311,850270
1107571,1511309
4120320,4119631
1079423,727626
3911870,726909
1079196,4097451
4024604,3993437
1400227,725294
4119994,3994343
1107698,728583
1107669,1222698
3912238,726815
4120311,4119654
1107579,1222591
1079386,4097699
1395439,1509219
1107489,1222485
1107658,728488
1107481,683237
1107661,684812
3912252,4097104
1107571,684024
1107543,4119643
4024043,3993182
1079225,727388
4120320,820121
4024601,4081633
1107481,1511305
1107658,728482
4024601,4000367
1107633,820491
1079046,727054
1107568,728244
1079448,4119637
3913234,819978
483293,726670
1395425,1392092
4023157,332810
1395447,854360
1395447,2303605
1395439,1021039
4119994,3994866
418636,341138
3912254,1221956
1079386,1511297
418648,1221846
1079621,727865
1079057,1222062
483293,726676
1395453,1507979
1079423,727627
1107478,1511303
3913234,4119628
1079185,727287
1107478,728010
4024046,3992666
4024597,4000370
1107518,728104
4058432,375041
1400227,1511277
1107698,728582
1079185,727288
1107478,728004
1107633,820422
4120320,820052
4119994,4000363
1079250,820126
1079646,682450
4024043,3993126
4120198,3998827
4120335,684814
483293,726671
3912238,726809
4023157,332818
1079448,820269
418648,1221845
1400225,2833713
4023357,3993127
1079250,680874
