host,target
3909011,989288
1079579,727752
1079633,727848
3908091,3051422
1395435,1021025
1107555,989292
3908289,3325650
3909335,3055072
3909355,2607010
1079590,1222372
1107577,4098350
1079221,727367
1079379,727507
3909592,3324528
3908526,1222387
2589150,1552821
3911860,984744
1004065,2563531
1079071,680090
1079055,1222076
3912244,726809
3909743,728474
3909780,728574
3908295,3687914
3909780,3324416
3908361,727631
1079237,727370
3910146,725289
3908099,1222069
3910164,2833712
3909329,728094
3909566,3324531
3908093,3051450
3908361,727615
1107489,1511303
3910112,886933
419210,341303
1107693,728565
418043,726550
3908461,3052947
2696566,3207154
3908526,3324684
3912260,1296242
1107654,728462
3910146,1255157
1395451,1339288
1395427,1392080
3908516,682544
3909792,3056456
1079398,681661
3909798,3056463
3909796,3056458
1079042,727028
3907996,341142
1395427,1392144
3908215,988588
3908242,727278
3909804,1222705
3910158,2518453
3909798,3056459
1107485,1222491
3909568,728243
3909584,1222599
3908091,3051391
3910116,375535
1079051,680089
2589150,1552822
3910136,1265979
1079086,727149
1079581,727766
3908097,1222109
3909339,820347
1107673,3056458
3909642,3162884
3908339,680866
3909800,1222785
3908522,682560
3908337,2471466
3910158,2833703
3908480,820208
3908518,682770
3909339,3055078
3910114,590177
3909363,683240
3911872,3207121
3912248,3044912
1107665,1222693
3907972,341303
1079081,727146
3910116,1392086
3909743,1255205
1107530,728100
3908361,727618
3908522,1222427
3909855,685173
3912214,1255166
3909317,3324603
1079586,682452
3908433,727513
3908433,727516
3909313,727996
3909363,1296262
1079046,1511287
3908508,727755
3909855,2608413
1107735,989300
3907976,1221845
3909570,3055587
3908246,727384
1079390,1222279
1079584,1511301
3907970,726658
3909556,984802
1107575,1222597
1107575,1222598
3909341,1043993
3910112,649519
3908093,3051386
3910146,984724
418636,341138
3908089,3051379
3908264,3586967
3907966,2535621
3911866,3002546
1079658,989288
3909560,3324517
1079379,727513
3908520,682560
3909292,682456
3910170,1218988
1079423,727626
3909007,1222374
1079442,1255181
3909329,728093
3912246,3044906
1002781,819113
3908492,3325766
2696149,3220607
3909847,820505
1079081,984753
3915428,1221970
3909347,3719018
3914666,819977
3909859,684816
1401309,1339325
3908297,988594
3908526,3324702
1107606,728330
483287,726656
3909401,728232
3908107,3325549
3911868,726911
1107591,1222597
2696149,728100
3911858,726889
1107583,3055587
3909066,727853
3909800,1222784
3909790,3056514
3908429,3052904
3909796,3056531
3911872,726905
3909743,984808
3908427,3052912
3909568,3055579
1400256,1218990
1107687,728562
1107593,684030
418642,1221852
1079053,3567687
3908095,820051
4120335,684814
1226831,3567693
3908295,3687916
2960590,1392145
3910112,861564
3908260,3052533
1107593,2472499
1107645,820421
3912250,819977
3911866,726897
3909064,3324715
3910116,3047947
3907994,2564281
1400254,2606601
3908091,3051452
1107507,728092
3909339,683597
2696152,3207148
3907992,341152
1079617,727845
3912240,726799
3912218,3207118
3914658,826224
1079194,4097451
4024604,3993264
1079196,4097451
3909849,820505
418645,1221850
1079040,727028
3909359,3162880
3909335,3055075
1004065,1248198
3910134,1021044
3911870,726915
3909013,820296
3909337,3055118
1079592,1222379
3909066,727870
1079392,2607002
1079210,2471466
2696149,984794
2695720,3207139
3910134,1021027
1107663,684827
3908297,2608388
3909011,820285
3909596,684039
1079244,1255175
1079448,4119637
3910112,1549221
4024597,4000370
3908459,3052908
1107575,1222595
3910154,2833700
3909576,684024
1107507,728084
2589240,3207112
3908099,1222065
3910122,1392082
1079081,727137
3908091,3051455
3907972,551832
3908488,681664
3910134,1021028
483290,726657
1079071,2594502
3909337,3055152
3909574,728240
3913242,3002578
3915434,3160690
1079194,1222170
3909003,1222394
1079255,989279
3907982,818442
1107555,820347
1079084,727152
3908087,727145
1400224,1218983
3908429,1222274
3908514,682555
1079440,727509
3909066,727856
3909060,727863
3910168,1219031
3908250,3325622
418639,341142
4023361,4082274
2696955,3220613
1079075,727128
3907978,1221853
483287,726658
3912238,726815
2696450,2607014
3908508,727754
3909070,682809
3911868,726914
3908248,984763
3908361,3325725
3910164,1218984
1079225,727393
3908459,1222273
3909778,728571
3908256,3052537
3907982,1221893
3908363,3325728
3908437,1222360
3908095,3051383
1401309,1339614
1107597,728331
1400241,2833716
419210,341138
3911872,726906
3907980,1221850
1107683,684818
1395453,4094631
3912232,2568968
3908109,3687872
3909784,728472
3910132,1021029
4120311,4119654
3909296,682453
2696084,2608403
3909337,3055069
1079381,727528
1079192,1222171
3908250,727378
3912256,679300
1079419,727613
1107735,820562
3908000,2535628
3908287,3325639
3908107,3325550
3908459,3052949
3908081,727039
3910150,2518462
1079383,1511295
3909345,1248722
3909347,3719021
1079194,1222160
1107667,1222690
3909592,989297
1079081,727140
3909357,1222479
1395439,1509219
1107681,3567705
3908105,1225391
3908289,3325651
3908492,681665
1107638,826236
3909847,820506
3908083,727041
1400225,2833757
3909782,728583
3910112,1339288
1079208,1222164
1395433,1392080
1107696,728586
1107472,727990
1395441,1021043
3908514,682779
3908258,3052455
1107481,683237
3908433,727515
3909315,727997
4120311,2304239
3908089,1222062
3908339,680867
3908107,989277
3912220,726807
4024046,3992665
3908289,1043984
3910116,3047972
3908248,984764
4120320,4119631
3908250,2568978
3909317,3324604
3909341,989292
3908437,1222275
483281,726664
3909060,984783
1107548,989291
3909584,3567703
1079419,727606
3908081,2568972
3908238,727276
1079651,820280
1107568,1511307
3912228,726795
3909013,3324724
1107478,1511303
3908081,727037
3908457,3325739
1107564,728231
1107625,728239
3910112,590193
3910122,1392087
2695592,1222281
1079244,727281
3909566,728235
3908482,820223
3908087,3051397
1079398,3052908
3912230,726789
2589150,341303
1079579,727769
1079442,727509
1079053,1222068
3909317,727991
1400241,2833699
3908085,727049
1079590,1222394
1107487,1222488
1107665,3567705
3908260,3052457
1079418,727609
4024604,3993437
1079388,681653
3909568,3055583
1107493,683237
775522,726553
3909786,3324430
1107728,820562
2589409,984724
3910148,725299
3911858,726896
3909011,820283
1079388,681664
1079640,727760
3908219,3325560
1079242,727283
3909333,3055081
3909592,820445
2589409,3206658
3912234,726801
3908087,3051386
3910112,1021036
3914658,819984
3909070,988603
1400247,725277
3912222,726804
3909064,727856
3912242,3044839
3912258,3162860
3909857,684827
1079590,2607006
3908238,984759
3908293,820134
3909572,3055627
1079188,680872
3909359,683230
3909294,682456
3909784,728469
1079250,820126
1079061,3051384
1079049,680085
3909861,3324392
4024597,3993272
1395437,1021026
3912248,3044839
3909780,728572
1107593,684028
3908337,3325658
3909586,3324491
418648,4095026
3909317,728009
3908246,3052474
1400251,725281
3909640,3324496
1107597,728323
482943,726656
3909772,728580
3915428,1221958
3909353,1222489
1079408,681656
1079179,727273
3908266,1222175
418639,341130
3908357,727624
3910156,2833702
1079386,681661
1400239,2833700
1079640,727755
3907986,818453
1079586,4097875
3909066,727854
1107583,3055589
3908287,1222161
3908427,3052920
3909562,728232
1079592,1511299
3908103,820062
3907982,549467
3908256,3052535
3908095,3586965
3908095,1222061
3910136,1021027
1107663,4098638
3908250,727374
1079421,727613
3909013,989289
3909847,820519
3908431,727527
3909013,820283
4120311,850270
2589243,984733
3908291,1043984
3912212,726905
3908250,727376
3910146,725282
3915436,3566674
3907962,726562
3909296,3162876
3912218,726806
3907970,726668
3915432,4096995
1079044,727053
3910136,1021028
3914666,820044
3908461,3052982
3912250,1221955
1395451,649510
3909335,3055070
3909594,820432
3910120,1392085
4023157,1511277
3908002,726660
1107516,728091
3914660,819978
1079223,727374
1079646,4119640
1107573,684027
3912220,726798
3910172,1218987
1079082,727128
3908518,1553072
1079069,3567687
3910164,814906
3908508,727753
1400249,725289
1400224,4094844
3909401,984798
775246,726666
4024607,3994351
3915440,1221961
3910114,1549215
2696563,3207157
3910170,1218987
3908427,727526
3908516,682552
3909325,728094
3910156,2833704
3909345,820357
1400249,1255157
4120320,820121
3908359,727616
1003894,826083
1107593,684020
3909568,1222592
3909590,820422
3910116,375533
3915436,1221962
3909772,728574
3910172,3567679
1107698,728583
3909321,728101
3908459,3052901
1079579,727770
3908484,989284
3908248,1255178
3909778,728573
3907992,988583
1395459,1021033
3907986,1043314
4024046,3992664
3910112,2327577
1079575,727745
3909849,820519
3907966,726562
3908254,727377
3911870,1511285
3910162,814927
1107710,728565
3909343,820357
3908518,1553068
3908262,1222254
3909580,1222591
3909590,820431
1107513,728087
3908437,1222321
4119994,3993432
1079381,727513
1079390,3567693
1004065,2563530
1107562,728228
1079442,727518
2696149,3207151
2696084,988609
4024601,4124241
1079584,4097875
1004065,818466
482943,726658
418046,726558
1107483,683241
1107501,3567700
1107568,728243
2589243,726666
3909564,728244
1079214,727372
3909294,1296258
1395427,2956410
1107481,683236
1107696,728569
3908081,3325514
3909743,728475
3912234,726800
3908510,727758
3909313,727999
3909642,3324495
1107663,684816
1400229,725275
2589277,1551082
3910120,375525
3912250,1222003
1079061,3051383
3910138,2517618
3909800,1222697
3911870,726909
419826,2472229
3912212,726892
3912252,679296
3908429,3052903
3915432,2606990
3908484,820210
1079442,727515
1107493,3055079
3908361,727613
1107591,3566586
3909337,3055087
3908520,1553063
2589243,3220583
3915438,1221963
1400227,725295
3908002,726662
1107652,728467
418642,1221841
1400254,4094844
3911866,2568970
3908429,3052901
3912260,2472274
3909351,1222493
1079577,727751
1079640,727754
3908461,3052984
3915428,1222003
1107513,1255196
3908002,726661
3909586,1222585
3912250,3044835
1107516,728106
3907974,1221846
418645,4095026
3913226,987845
1079188,4097485
3909345,820370
1079394,1222273
3909574,3055600
3909011,820297
1079183,727292
4024046,4082386
3912246,3044875
1079194,1222172
1079185,727288
3915440,3567261
3908522,3586971
1079633,727861
1079057,4097232
3909329,3324611
4024601,4000367
3908093,3051452
1395425,1392086
3908508,727756
3909363,683244
3909337,3055156
1107573,684028
2589147,818453
3909349,683239
3913238,820001
3910162,814926
1079055,2606994
3909574,3055591
1107717,728476
1079588,1222385
3909574,3055643
3907962,3467680
3908258,727287
3910162,2833709
3914668,988859
1079210,680878
3909339,3055119
3915438,3002559
1079051,2608383
3909782,984812
2843818,2833708
1400256,1218989
1395425,1507979
1107474,727984
3908520,682559
1079250,4119634
3908260,3052536
3908478,3687959
3908219,3162864
3909401,1255199
3909570,3055666
3908105,820052
3912250,3687830
1079116,826226
3907972,551724
3908099,3567688
3909009,1225395
3908093,3051455
3911864,726910
3909798,1222745
3910112,1549215
3911860,726902
1079390,1222277
1107577,1222584
3910116,3047973
3910148,2518460
1079588,1222386
3910112,590201
3912256,4097104
3910134,1021026
3915434,1221959
3910124,1392081
3908287,3325638
1107583,3055588
3909574,3055578
4120198,3993120
1079435,727609
3909798,685173
1107485,1222481
1226831,1222279
3909790,728479
3911866,726899
1395447,854901
3909784,2568996
1079408,681664
3910138,1021032
3908455,1222277
3909323,984794
1395443,1392085
3907972,726667
1079423,1511297
1107478,728005
1079592,1222380
3908429,3052899
3908219,680088
3912232,726798
3910158,2518452
1107694,728570
1079581,1511299
3908461,3052978
3908260,3052539
3909570,3055665
3908484,3325758
4120198,3996850
1395429,1392079
4024607,4082095
1079225,727387
3909640,1296266
1079225,1511293
3908219,680078
1395459,1021034
418046,726556
3907996,3162137
3908361,727616
3909343,820348
4058432,375041
3908262,2606998
2589225,988584
1079040,727036
3908520,1553061
1079408,2594506
1079610,727850
1079435,727622
3908433,727531
3909794,3056450
3912220,726804
3908091,3051454
1400258,3567678
3910148,725284
1079053,1222065
1395435,1021024
1079640,727763
3907998,807774
3908248,727380
775246,726653
1079071,680088
3909580,1222594
3909792,3056450
1395427,2956391
1107579,1222591
3908095,3051423
3909580,1222639
3910168,1218998
1107633,820491
3909586,3160708
1079214,727373
3908258,3052460
3908508,3324706
3909327,3324612
3909576,3586975
1400239,2833693
3909005,3567697
3909347,3719020
3908518,1553067
1400225,2833713
1079057,1511287
4023357,3992656
3908276,820192
3910164,814908
3908291,820137
3908357,727619
3907982,1221845
3909564,984797
2696566,3220609
3909642,684028
3908492,3162872
3909359,683231
1079192,3567690
1079617,727853
3908256,3052467
3909060,727858
3908264,680872
3909401,728238
3915438,3567261
1079388,681663
1107667,1222702
3909796,3056536
3908508,727752
3910164,814905
1395433,1392091
3907992,988584
1107514,728091
3909584,3324488
3909572,3055664
3913238,820000
1079617,727851
3910168,1218986
3908099,1222068
3909580,2607014
3907990,818524
3908097,1222063
3908459,3586969
1107681,1222703
3912232,3002539
2694072,3207133
3912248,3044835
3909794,3056536
1079419,727612
