Source,Target
4120320,680086
4120320,820121
4120320,820052
4120320,4119631
4120335,684814
4120335,820565
4120335,820496
4120335,4119649
332810,375041
332810,4095104
332818,375049
341137,679296
341138,586448
341138,679297
375050,586448
375050,4082274
375168,1218984
375168,3993126
607437,679298
607437,2304239
649517,1218983
649517,3993171
649517,3996818
679296,680084
679297,680085
679298,680086
680084,680872
680085,680873
680086,680874
680872,681660
680873,681661
680874,681662
681660,682448
681661,682449
681662,682450
682448,683236
682449,683237
682450,683238
683236,684024
683237,684025
683238,684026
684024,684812
684025,684813
684026,684814
725294,726670
725294,1021039
725295,726670
725295,726671
725295,1021039
725295,1021040
725300,726676
725300,1021045
726570,726809
726570,2833712
726571,726809
726571,726810
726571,2833712
726571,2833713
726576,726815
726576,2833718
726670,726909
726671,726909
726671,726910
726676,726915
726809,727048
726810,727048
726810,727049
726815,727054
726909,727148
726910,727148
726910,727149
726915,727154
727048,727287
727049,727287
727049,727288
727054,727293
727148,727387
727149,727387
727149,727388
727154,727393
727287,727526
727288,727526
727288,727527
727293,727532
727387,727626
727388,727626
727388,727627
727393,727632
727526,727765
727527,727765
727527,727766
727532,727771
727626,727865
727627,727865
727627,727866
727632,727871
727765,728004
727766,728004
727766,728005
727771,728010
727865,728104
727866,728104
727866,728105
727871,728110
728004,728243
728005,728243
728005,728244
728010,728249
728104,728343
728105,728343
728105,728344
728110,728349
728243,728482
728244,728482
728244,728483
728249,728488
728343,728582
728344,728582
728344,728583
728349,728588
818443,819978
819113,820047
819113,850341
819978,820052
820047,820121
820052,820126
820121,820195
820126,820200
820195,820269
820200,820274
820269,820343
820274,820348
820343,820417
820348,820422
820417,820491
820422,820496
820491,820565
850270,854360
850270,1646444
850341,854901
854901,3994864
1021039,3993127
1021040,3992657
1021040,3992729
1021040,3992731
1021040,3993127
1021045,3992656
1021045,3992729
1218983,1221845
1218984,1221846
1221845,1221955
1221846,1221956
1221955,1222061
1221956,1222062
1222061,1222167
1222062,1222168
1222167,1222273
1222168,1222274
1222273,1222379
1222274,1222380
1222379,1222485
1222380,1222486
1222485,1222591
1222486,1222592
1222591,1222697
1222592,1222698
1392086,2833712
1392086,3992727
1392086,4082386
1392087,2833712
1392087,2833713
1392087,3992666
1392087,3992727
1392087,3996820
1392092,2833718
1392092,3992664
1507979,2833757
1507979,3992665
1509219,1511277
1509219,3992658
1511277,1511281
1511279,1511283
1511279,2833757
1511281,1511285
1511283,1511287
1511285,1511289
1511287,1511291
1511289,1511293
1511291,1511295
1511293,1511297
1511295,1511299
1511297,1511301
1511299,1511303
1511301,1511305
1511303,1511307
1511305,1511309
1511307,1511311
1511309,1511313
2303605,2304239
2303605,3998827
3992656,3992729
3992656,3993264
3992657,3993127
3992657,3993265
3992657,3993437
3992658,3993266
3992664,3993272
3992664,4000370
3992665,3993271
3992666,3993272
3992727,3993316
3992729,3995016
3992731,3993320
3993120,4000361
3993122,4000363
3993126,4000367
3993126,4081633
3993127,3993265
3993127,3993437
3993171,4000367
3993173,3996241
3993180,3996221
3993180,4000357
3993182,3994635
3993182,3996241
3993182,4094631
3993265,3993437
3993318,3996820
3993432,3996850
3994343,3998827
3994635,3996241
3994864,3994866
3994864,4000363
3994866,4000363
3996243,3996818
4082095,4082274
4082386,4120481
4094631,4094844
4094844,4095026
4095026,4096995
4095104,4097104
4096995,4097232
4097104,4097376
4097232,4097451
4097376,4097485
4097451,4097608
4097485,4097699
4097608,4097802
4097699,4097875
4097802,4097980
4097875,4098117
4097980,4098350
4098117,4098456
4098350,4098678
4098456,4098638
4119625,4119628
4119625,4119654
4119628,4119631
4119631,4119634
4119634,4119637
4119637,4119640
4119640,4119643
4119643,4119646
4119646,4119649
4119654,4119655
4119655,4119663
4119663,4119684
