ID,Xmin,Ymin,Xmax,Ymax,Zmin,Zmax,Area,Length,Height,Width,Space,Wall,Door,Window
36614419,-4.757642788,-3.151082765,-3.406893135,0.12975713,44.27494113,48.00127656,1,0,1,1,0,0,0,1
36614519,-4.757642788,-34.23704077,-3.937432815,-21.11368119,41.01049869,49.21259843,0,3.775,2.5,0,0,1,0,0
36614619,-4.347537802,-21.93389116,8.398525191,-21.11368119,41.01049869,49.21259843,0,3.785,2.5,0,0,1,0,0
36614719,7.742357212,-34.23704077,8.398525191,-21.52378618,41.01049869,49.21259843,0,3.775,2.5,0,0,1,0,0
36614819,-4.347537802,-34.23704077,8.070441201,-33.58087279,41.01049869,49.21259843,0,3.785,2.5,0,0,1,0,0
36614919,0.583564561,-36.79609589,3.352593432,-32.8119334,40.91207349,47.86745407,1.414,0,2.02,0.7,0,0,1,0
36615019,-4.757642788,-29.39780192,-3.406893135,-26.11696203,44.27494113,48.00127656,1,0,1,1,0,0,0,1
36615119,-4.757642788,-60.48375993,-3.937432815,-47.36040035,41.01049869,49.21259843,0,3.775,2.5,0,0,1,0,0
36615219,-4.347537802,-48.18061032,8.398525191,-47.36040035,41.01049869,49.21259843,0,3.785,2.5,0,0,1,0,0
36615319,7.742357212,-60.48375993,8.398525191,-47.77050534,41.01049869,49.21259843,0,3.775,2.5,0,0,1,0,0
36615419,-4.347537802,-60.48375993,8.070441201,-59.82759195,41.01049869,49.21259843,0,3.785,2.5,0,0,1,0,0
36615519,3.897212855,-63.04281505,6.666241726,-59.05865256,40.91207349,47.86745407,1.414,0,2.02,0.7,0,0,1,0
36615619,-4.757642788,-55.64452108,-3.406893135,-52.36368119,44.27494113,48.00127656,1,0,1,1,0,0,0,1
36615719,34.64118025,30.76178165,47.75020549,31.41794963,41.01049869,48.72047244,0,3.771,2.5,0,0,1,0,0
36615819,34.64118025,18.29459005,35.29734823,31.08986564,41.01049869,48.72047244,0,3.8,2.5,0,0,1,0,0
36615919,34.96926424,18.29459005,47.75020549,18.95075802,41.01049869,48.72047244,0,3.771,2.5,0,0,1,0,0
36616019,46.92999552,18.62267404,47.75020549,31.08986564,41.01049869,48.72047244,0,3.8,2.5,0,0,1,0,0
36616119,39.96805326,15.73553493,42.73708214,19.71969742,40.91207349,47.86745407,1.414,0,2.02,0.7,0,0,1,0
36617019,46.39945584,23.15843519,47.75020549,26.43927509,44.45538058,48.181716,1,0,1,1,0,0,0,1
36617119,14.84024643,4.476869991,28.08356456,5.13303797,41.01049869,48.72047244,0,3.787,2.5,0,0,1,0,0
36617219,14.84024643,-7.99032161,15.49641441,4.804953981,41.01049869,48.72047244,0,3.8,2.5,0,0,1,0,0
36617319,15.16833042,-7.99032161,28.08356456,-7.334153631,41.01049869,48.72047244,0,3.787,2.5,0,0,1,0,0
36617419,27.09931259,-7.66223762,28.08356456,4.804953981,41.01049869,48.72047244,0,3.8,2.5,0,0,1,0,0
36617519,16.90061388,-10.54937673,19.66964275,-6.565214235,40.91207349,47.86745407,1.414,0,2.02,0.7,0,0,1,0
36618419,26.04566211,-4.873523709,28.11637296,1.901410674,44.40616798,47.78543307,1,0,1,1,0,0,0,1
36618519,14.84024643,-21.76984917,28.08356456,-21.11368119,41.01049869,48.72047244,0,3.787,2.5,0,0,1,0,0
36618619,14.84024643,-34.23704077,15.49641441,-21.44176518,41.01049869,48.72047244,0,3.8,2.5,0,0,1,0,0
36618719,15.16833042,-34.23704077,28.08356456,-33.58087279,41.01049869,48.72047244,0,3.787,2.5,0,0,1,0,0
36618819,27.09931259,-33.90895678,28.08356456,-21.44176518,41.01049869,48.72047244,0,3.8,2.5,0,0,1,0,0
36618919,16.90061388,-36.79609589,19.66964275,-32.8119334,40.91207349,47.86745407,1.414,0,2.02,0.7,0,0,1,0
36619819,26.04566211,-31.12024287,28.11637296,-24.34530849,44.40616798,47.78543307,1,0,1,1,0,0,0,1
36619919,14.92739658,-48.01656833,28.08356456,-47.36040035,41.01049869,48.72047244,0,3.76,2.5,0,0,1,0,0
36620019,14.92739658,-60.48375993,15.58356456,-47.68848434,41.01049869,48.72047244,0,3.8,2.5,0,0,1,0,0
36620119,15.25548057,-60.48375993,28.08356456,-59.82759195,41.01049869,48.72047244,0,3.76,2.5,0,0,1,0,0
36620219,27.09931259,-60.15567594,28.08356456,-47.68848434,41.01049869,48.72047244,0,3.8,2.5,0,0,1,0,0
36620319,20.30141233,-63.04281505,23.0704412,-59.05865256,40.91207349,47.86745407,1.414,0,2.02,0.7,0,0,1,0
36621219,26.04566211,-57.36696203,28.11637296,-50.59202765,44.40616798,47.78543307,1,0,1,1,0,0,0,1
36621319,34.64118025,4.515062487,47.75020549,5.171230466,41.01049869,48.72047244,0,3.771,2.5,0,0,1,0,0
36621419,34.64118025,-7.952129114,35.29734823,4.843146476,41.01049869,48.72047244,0,3.8,2.5,0,0,1,0,0
36621519,34.96926424,-7.952129114,47.75020549,-7.295961135,41.01049869,48.72047244,0,3.771,2.5,0,0,1,0,0
36621619,46.92999552,-7.624045125,47.75020549,4.843146476,41.01049869,48.72047244,0,3.8,2.5,0,0,1,0,0
36621719,39.96805326,-10.51118423,42.73708214,-6.52702174,40.91207349,47.86745407,1.414,0,2.02,0.7,0,0,1,0
36622619,46.39945584,-3.08828397,47.75020549,0.192555925,44.45538058,48.181716,1,0,1,1,0,0,0,1
36622719,34.64118025,-21.73165667,47.75020549,-21.07548869,41.01049869,48.72047244,0,3.771,2.5,0,0,1,0,0
36622819,34.64118025,-34.19884827,35.29734823,-21.40357268,41.01049869,48.72047244,0,3.8,2.5,0,0,1,0,0
36622919,34.96926424,-34.19884827,47.75020549,-33.5426803,41.01049869,48.72047244,0,3.771,2.5,0,0,1,0,0
36623019,46.92999552,-33.87076428,47.75020549,-21.40357268,41.01049869,48.72047244,0,3.8,2.5,0,0,1,0,0
36623119,39.96805326,-36.75790339,42.73708214,-32.7737409,40.91207349,47.86745407,1.414,0,2.02,0.7,0,0,1,0
36624019,46.39945584,-29.33500313,47.75020549,-26.05416324,44.45538058,48.181716,1,0,1,1,0,0,0,1
36624119,34.61243595,-47.97837583,47.75020549,-47.32220785,41.01049869,48.72047244,0,3.779,2.5,0,0,1,0,0
36624219,34.61243595,-60.44556743,35.26860393,-47.65029184,41.01049869,48.72047244,0,3.8,2.5,0,0,1,0,0
36624319,34.94051994,-60.44556743,47.75020549,-59.78939946,41.01049869,48.72047244,0,3.779,2.5,0,0,1,0,0
36624419,46.92999552,-60.11748345,47.75020549,-47.65029184,41.01049869,48.72047244,0,3.8,2.5,0,0,1,0,0
36624519,39.96805326,-63.00462255,42.73708214,-59.02046006,40.91207349,47.86745407,1.414,0,2.02,0.7,0,0,1,0
36625419,46.39945584,-55.58172229,47.75020549,-52.3008824,44.45538058,48.181716,1,0,1,1,0,0,0,1
36630819,-24.44268216,18.25177674,-23.45843019,31.37513632,49.21259843,57.41469816,0,3.775,2.5,0,0,1,0,0
36630919,-23.95055617,30.55492634,-11.28651418,31.37513632,49.21259843,57.41469816,0,3.76,2.5,0,0,1,0,0
36631019,-11.94268216,18.25177674,-11.28651418,30.96503133,49.21259843,57.41469816,0,3.775,2.5,0,0,1,0,0
36631119,-23.95055617,18.25177674,-11.61459817,18.90794471,49.21259843,57.41469816,0,3.76,2.5,0,0,1,0,0
36631419,-15.78782652,15.69272162,-13.01879764,19.67688411,49.11417323,56.06955381,1.414,0,2.02,0.7,0,0,1,0
36631519,-24.47549056,21.3722741,-22.40477971,28.14720849,52.60826772,55.98753281,1,0,1,1,0,0,0,1
36631619,-24.44268216,-7.994942424,-23.45843019,5.128417156,49.21259843,57.41469816,0,3.775,2.5,0,0,1,0,0
36631719,-23.95055617,4.308207182,-11.28651418,5.128417156,49.21259843,57.41469816,0,3.76,2.5,0,0,1,0,0
36631819,-11.94268216,-7.994942424,-11.28651418,4.718312169,49.21259843,57.41469816,0,3.775,2.5,0,0,1,0,0
36631919,-23.95055617,-7.994942424,-11.61459817,-7.338774445,49.21259843,57.41469816,0,3.76,2.5,0,0,1,0,0
36632019,-15.78782652,-10.55399754,-13.01879764,-6.56983505,49.11417323,56.06955381,1.414,0,2.02,0.7,0,0,1,0
36632119,-24.47549056,-4.874445057,-22.40477971,1.900489326,52.60826772,55.98753281,1,0,1,1,0,0,0,1
36632219,-24.44268216,-34.24166158,-23.45843019,-21.118302,49.21259843,57.41469816,0,3.775,2.5,0,0,1,0,0
36632319,-23.95055617,-21.93851198,-11.28651418,-21.118302,49.21259843,57.41469816,0,3.76,2.5,0,0,1,0,0
36632419,-11.94268216,-34.24166158,-11.28651418,-21.52840699,49.21259843,57.41469816,0,3.775,2.5,0,0,1,0,0
36632519,-23.95055617,-34.24166158,-11.61459817,-33.58549361,49.21259843,57.41469816,0,3.76,2.5,0,0,1,0,0
36632619,-15.78782652,-36.8007167,-13.01879764,-32.81655421,49.11417323,56.06955381,1.414,0,2.02,0.7,0,0,1,0
36632719,-24.47549056,-31.12116422,-22.40477971,-24.34622983,52.60826772,55.98753281,1,0,1,1,0,0,0,1
36632819,-24.44268216,-60.48838074,-23.45843019,-47.36502116,49.21259843,57.41469816,0,3.775,2.5,0,0,1,0,0
36632919,-23.95055617,-48.18523114,-11.28651418,-47.36502116,49.21259843,57.41469816,0,3.76,2.5,0,0,1,0,0
36633019,-11.94268216,-60.48838074,-11.28651418,-47.77512615,49.21259843,57.41469816,0,3.775,2.5,0,0,1,0,0
36633119,-23.95055617,-60.48838074,-11.61459817,-59.83221277,49.21259843,57.41469816,0,3.76,2.5,0,0,1,0,0
36633219,-15.78782652,-63.04743586,-13.01879764,-59.06327337,49.11417323,56.06955381,1.414,0,2.02,0.7,0,0,1,0
36633319,-24.47549056,-57.36788338,-22.40477971,-50.59294899,52.60826772,55.98753281,1,0,1,1,0,0,0,1
36633419,-4.757642788,18.25177674,-3.937432815,31.37513632,49.21259843,57.41469816,0,3.775,2.5,0,0,1,0,0
36633519,-4.347537802,30.55492634,8.398525191,31.37513632,49.21259843,57.41469816,0,3.785,2.5,0,0,1,0,0
36633619,7.742357212,18.25177674,8.398525191,30.96503133,49.21259843,57.41469816,0,3.775,2.5,0,0,1,0,0
36633719,-4.347537802,18.25177674,8.070441201,18.90794471,49.21259843,57.41469816,0,3.785,2.5,0,0,1,0,0
