id,classification
2697231,separationline
2697232,separationline
2697233,separationline
2697279,separationline
2697280,separationline
2697281,separationline
2697282,separationline
2697332,separationline
2697333,separationline
2697334,separationline
2697335,separationline
2697379,separationline
2697380,separationline
2697381,separationline
2697382,separationline
2701543,separationline
2701544,separationline
2701545,separationline
2701546,separationline
2701587,separationline
2701588,separationline
2701589,separationline
2701590,separationline
2701616,separationline
2701617,separationline
2701642,separationline
2701643,separationline
2701644,separationline
2701780,separationline
2701781,separationline
2701782,separationline
2701809,separationline
2701810,separationline
2701811,separationline
2701812,separationline
2701839,separationline
2701840,separationline
2701841,separationline
2701842,separationline
2701868,separationline
2701869,separationline
2701870,separationline
2701951,separationline
2701952,separationline
2701980,separationline
2701981,separationline
2701982,separationline
2701983,separationline
2702034,separationline
2702035,separationline
2702513,separationline
2702514,separationline
2702515,separationline
2702554,separationline
2702555,separationline
2702556,separationline
2702557,separationline
2702725,separationline
2702726,separationline
2702728,separationline
2702760,separationline
2702761,separationline
2702763,separationline
2702795,separationline
2702797,separationline
2702798,separationline
2702823,separationline
2702824,separationline
2702825,separationline
2702826,separationline
2703209,separationline
2703210,separationline
2703211,separationline
2703236,separationline
2703237,separationline
2703238,separationline
2703266,separationline
2703267,separationline
2703268,separationline
2703269,separationline
2703296,separationline
2703297,separationline
2703298,separationline
2703299,separationline
2826115,separationline
2826385,separationline
2843313,separationline
2843466,separationline
2843494,separationline
2843649,separationline
2843794,separationline
2960416,separationline
2960448,separationline
2960535,separationline
2960565,separationline
2960704,separationline
2961467,separationline
2961700,separationline
2961756,separationline
3219896,separationline
3219946,separationline
3248724,separationline
3248729,separationline
3908667,separationline
3908977,separationline
3909265,separationline
3910878,separationline
3911000,separationline
3911150,separationline
3911287,separationline
3911457,separationline
3911569,separationline
3911741,separationline
3911837,separationline
3912005,separationline
3912167,separationline
3912470,separationline
3912556,separationline
3912715,separationline
3912872,separationline
3913057,separationline
3913707,separationline
3913999,separationline
3914089,separationline
3914335,separationline
3914412,separationline
3914614,separationline
3914633,separationline
3914805,separationline
3914886,separationline
3914957,separationline
3915206,separationline
3915375,separationline
4022952,separationline
4023088,separationline
4023196,separationline
4023258,separationline
4023300,separationline
4023429,separationline
4023625,separationline
4023704,separationline
4023931,separationline
4024000,separationline
4024080,separationline
4024166,separationline
4024268,separationline
4024348,separationline
4024419,separationline
4024486,separationline
4024540,separationline
