id,head_height,mark,classification
730208,210.0,554,door
782266,210.0,542,door
782267,210.0,543,door
782268,210.0,544,door
782269,210.0,545,door
782313,210.0,560,door
782314,210.0,561,door
782321,210.0,563,door
814920,210.0,1195,door
814921,210.0,1196,door
818455,204.0,1252,door
818456,205.0,1254,door
818457,205.0,1255,door
818458,205.0,1256,door
818459,205.0,1257,door
818507,210.0,1258,door
819990,204.0,1259,door
819991,205.0,1260,door
819992,205.0,1261,door
819993,205.0,1262,door
819994,205.0,1263,door
820041,210.0,1264,door
820064,204.0,1265,door
820065,205.0,1266,door
820066,205.0,1267,door
820067,205.0,1268,door
820068,205.0,1269,door
820115,210.0,1270,door
820138,204.0,1271,door
820139,205.0,1272,door
820140,205.0,1273,door
820141,205.0,1274,door
820142,205.0,1275,door
820189,210.0,1276,door
820212,204.0,1277,door
820213,205.0,1278,door
820214,205.0,1279,door
820215,205.0,1280,door
820216,205.0,1281,door
820263,210.0,1282,door
820286,204.0,1283,door
820287,205.0,1284,door
820288,205.0,1285,door
820289,205.0,1286,door
820290,205.0,1287,door
820337,210.0,1288,door
820360,204.0,1289,door
820361,205.0,1290,door
820362,205.0,1291,door
820363,205.0,1292,door
820364,205.0,1293,door
820411,210.0,1294,door
820434,204.0,1295,door
820435,205.0,1296,door
820436,205.0,1297,door
820437,205.0,1298,door
820438,205.0,1299,door
820485,210.0,1300,door
820508,204.0,1301,door
820509,205.0,1302,door
820510,205.0,1303,door
820511,205.0,1304,door
820512,205.0,1305,door
820559,210.0,1306,door
820582,204.0,1307,door
820583,205.0,1308,door
820584,205.0,1309,door
820585,205.0,1310,door
820586,205.0,1311,door
820633,210.0,1312,door
860000,210.0,1149,door
862159,210.0,1157,door
862254,210.0,1159,door
864713,204.0,1160,door
864714,205.0,1162,door
864715,205.0,1181,door
864716,205.0,1192,door
868427,210.0,575,door
868428,210.0,576,door
868438,210.0,578,door
868444,210.0,579,door
868489,210.0,580,door
868496,210.0,582,door
868497,210.0,583,door
874295,210.0,596,door
881038,205.0,558,door
881178,205.0,559,door
885450,210.0,598,door
887009,210.0,600,door
903520,220.0,1326,door
907080,220.0,1327,door
921408,202.0,1329,door
921409,220.0,1330,door
921410,220.0,1331,door
921411,220.0,1332,door
921412,220.0,1333,door
921413,220.0,1334,door
921448,210.0,1335,door
921526,220.0,1013,door
922056,220.0,555,door
969005,210.0,1173,door
1021047,202.0,589,door
1021048,205.0,590,door
1021049,205.0,591,door
1021050,205.0,592,door
