id,area,level,name,perimeter,unbounded_height,classification
1107543,10.360000000000005,מ' 26 בניין 3- קומה 8,SR,1300.0000000000002,243.84,space
1107548,8.624126943033872,מ' 26 בניין 3- קומה 8,מטבח,1216.7230400000008,243.84,space
1107550,3.3631702542184527,מ' 26 בניין 3- קומה 8,מ.שירות,740.8044416166957,243.84,space
1107552,14.087676138991103,מ' 26 בניין 3- קומה 8,ח.דיור,1501.449183202959,243.84,space
1107555,7.2370670194814455,מ' 26 בניין 3- קומה 8,פ.אוכל,1087.3406251854,243.84,space
1107562,10.324971109933305,מ' 26 בניין 3- קומה 9,ח.שינה 3,1289.9980413514108,243.84,space
1107564,10.32497110988126,מ' 26 בניין 3- קומה 9,ח.שינה 4,1289.9980413478902,243.84,space
1107566,3.0306875582311306,מ' 26 בניין 3- קומה 9,ח.שירות,701.0564591265921,243.84,space
1107568,9.700737225648917,מ' 26 בניין 3- קומה 9,SR,1261.3446247865745,243.84,space
1107571,9.664503954723841,מ' 26 בניין 3- קומה 9,SR,1282.0610612940052,243.84,space
1107573,11.167372579221588,מ' 26 בניין 3- קומה 9,ח.שינה 1,1362.8890372539806,243.84,space
1107575,3.4253248152044002,מ' 26 בניין 3- קומה 9,ח.שירות,770.6646624010336,243.84,space
1107577,11.163697624338425,מ' 26 בניין 3- קומה 9,ח.שינה 1,1362.350287027366,243.84,space
1107579,9.661353954723689,מ' 26 בניין 3- קומה 9,SR,1272.0610612939752,243.84,space
1107583,0.937609829702737,מ' 26 בניין 3- קומה 9,מטבח,430.98191351003084,243.84,space
1107584,9.93326618817189,מ' 26 בניין 3- קומה 9,מטבח,1285.7325631442748,243.84,space
1107589,10.251458240789356,מ' 26 בניין 3- קומה 9,ח.דיור,1316.0823731372273,243.84,space
1107591,16.166015374392018,מ' 26 בניין 3- קומה 9,מטבח,1629.0079608720152,243.84,space
1107593,3.4300000000001205,מ' 26 בניין 3- קומה 9,ח.שירות,770.0000000000051,243.84,space
1107595,13.895976678795115,מ' 26 בניין 3- קומה 9,ח.שינה 1,1680.6928758786444,243.84,space
1107597,10.324971109933307,מ' 26 בניין 3- קומה 9,ח.שינה 3,1289.9980413514106,243.84,space
1107599,13.895976678795105,מ' 26 בניין 3- קומה 9,ח.שינה 1,1680.6928758786444,243.84,space
1107603,15.755716712223778,מ' 26 בניין 3- קומה 9,ח.דיור,1596.406594680719,243.84,space
1107604,10.324971109881245,מ' 26 בניין 3- קומה 9,ח.שינה 4,1289.9980413478902,243.84,space
