id,xmax,ymax,zmax,xmin,ymin,zmin,length,height,width
1222733,-1758.6494190572,152.224874505455,3260.99999999997,-1906.6494190572,105.554025080024,3117.99999999997,,105.5,140
1222734,-1406.2878530157,-833.01866047693,3264.99999999997,-1674.2878530157,-888.189509902362,3015.99999999997,,210,260
1222790,-1389.0245307016,20.6976685031275,3260.99999999997,-1401.0245307016,-17.9338579771492,3248.99999999997,,150,100
1222812,-1588.0245307016,269.212609485213,3534.49999999995,-1659.63979730076,62.7126094852127,3431.49999999995,,100,100
1222836,-2054.53389794824,-249.945974919957,3539.99999999997,-2099.04796191729,-427.945974919957,3426.99999999997,,109,170
1222837,-2035.63828648537,152.224874505456,3536.57870370364,-2095.63828648537,108.554025080025,3422.99999999994,,105.5,60
1222838,-1845.73996843053,-833.018660476929,3562.49999999999,-2003.73996843053,-888.189509902361,3419.49999999999,,105.5,150
1222839,-1758.6494190572,152.224874505455,3562.99999999997,-1906.6494190572,105.554025080024,3419.99999999997,,105.5,140
1222840,-1406.2878530157,-833.01866047693,3566.99999999997,-1674.2878530157,-888.189509902362,3317.99999999997,,210,260
1222896,-1389.0245307016,20.6976685031275,3562.99999999997,-1401.0245307016,-17.9338579771492,3550.99999999997,,150,100
1223281,-1588.0245307016,269.211718837171,3836.49999999999,-1659.63979730076,62.711718837171,3733.49999999999,,100,100
1223305,-2054.53389794824,-249.945974919957,3842,-2099.04796191729,-427.945974919957,3729,,109,170
1223306,-2035.63828648537,152.224874505441,3838.5787037037,-2095.63828648537,108.55402508001,3725,,105.5,60
1223307,-1845.73996843054,-833.018660476929,3864.50000000002,-2003.73996843054,-888.189509902361,3721.50000000002,,105.5,150
1223308,-1758.19967421531,152.224874505441,3867,-1906.19967421531,105.554025080009,3724,,105.5,140
1223309,-1406.2878530157,-833.01866047693,3869.00000000002,-1674.2878530157,-888.189509902362,3620.00000000002,,210,260
1256998,-1276.19891508437,-503.347811051897,3842.5787037037,-1341.19891508437,-537.018660477328,3729,,109.5,65
1268520,-1406.2878530157,-834.018660476939,249.912600293911,-1674.2878530157,-888.18950990237,40.9999999999922,,165,260
1392114,-1929.43414777661,1334.83615442989,240.499999999978,-1978.60499720282,1196.83615442961,97.4999999999783,,105.5,130
1392115,-1929.43414777489,1033.23615333275,240.499999999979,-1978.60499720111,895.236153332474,97.4999999999794,,105.5,130
1392116,-1553.43414777316,1810.40700275797,240.499999999989,-1701.43414777316,1761.23615333254,97.4999999999886,,105.5,140
1392117,-1837.43414777316,1810.40700275797,214.578703703693,-1897.43414777316,1764.23615333254,100.99999999999,,105.5,60
1392118,-1072.81833472559,1533.23560813327,242.999999999992,-1340.81833472559,1478.06475870784,-4.0000000000078,,210,260
1392123,-1779.63926627164,778.236153332538,217.999999999992,-1826.6533302407,600.236153332538,104.999999999992,,109,170
1392126,-1588.02453070161,546.388368723479,212.499999999983,-1659.63979730076,339.888368723479,109.499999999983,,100,100
1584530,-1478.02453070161,605.707923769341,240.999999999992,-1490.02453070161,567.076397289065,228.999999999992,,150,100
1584531,-1318.02453070161,605.707923769342,245.999999999992,-1340.02453070161,567.076397289065,223.999999999992,,150,100
1584532,-1258.02453070161,605.707923769342,245.999999999992,-1280.02453070161,567.076397289065,223.999999999992,,150,100
1584533,-1373.02453070161,605.707923769342,240.999999999992,-1385.02453070161,567.076397289065,228.999999999992,,150,100
1584551,-1585.89300422143,377.907398187449,240.999999999992,-1638.0245307017,365.907398187448,228.999999999992,,150,100
1584762,-179.733668186275,605.707923769342,245.999999999992,-201.733668186276,567.076397289065,223.999999999992,,150,100
1584763,-239.733668186275,605.707923769342,245.999999999992,-261.733668186276,567.076397289065,223.999999999992,,150,100
1584764,-135.203137539284,605.707923769342,240.999999999992,-147.203137539285,567.076397289065,228.999999999992,,150,100
1584801,117.796862460813,377.907398187449,240.999999999992,65.6653359805366,365.907398187448,228.999999999992,,150,100
1586230,-30.2031375392834,605.707923769341,542.999999999967,-42.2031375392845,567.076397289065,530.999999999967,,150,100
1586231,-179.733668186276,605.707923769342,547.999999999967,-201.733668186276,567.076397289065,525.999999999967,,150,100
1586232,-239.733668186276,605.707923769342,547.999999999967,-261.733668186276,567.076397289065,525.999999999967,,150,100
