id,xmax,ymax,zmax,xmin,ymin,zmin,length,height,width
1248722,-459.664419269853,-151.018660476933,2717.99999999997,-479.664419269854,-341.018660476931,2415.99999999997,182.499999999997,302,20
1248724,-459.664419269853,-151.018660476933,3019.99999999997,-479.664419269854,-341.018660476931,2717.99999999997,182.499999999997,302,20
1248726,-459.664419269853,-151.018660476933,3321.99999999997,-479.664419269854,-341.018660476931,3019.99999999997,182.499999999997,302,20
1248728,-459.664419269853,-151.018660476933,3623.99999999997,-479.664419269854,-341.018660476931,3321.99999999997,182.499999999997,302,20
1254608,-1442.43512711017,1199.21026197962,905.999999999967,-1467.43512711017,1094.21026195384,603.999999999967,105.000000025782,302,25
1255157,-52.7925411307248,1199.21026197962,603.999999999967,-77.7925411307251,1094.21026195384,301.999999999967,105.000000025782,302,25
1255160,-52.7925411307248,1199.21026197962,905.999999999967,-77.7925411307251,1094.21026195384,603.999999999967,105.000000025782,302,25
1255163,-1442.43512711017,1199.21026197962,1207.99999999997,-1467.43512711017,1094.21026195384,905.999999999967,105.000000025782,302,25
1255166,-52.7925411307248,1199.21026197962,1207.99999999997,-77.7925411307251,1094.21026195384,905.999999999967,105.000000025782,302,25
1255169,-1442.43512711017,1199.21026197962,1509.99999999997,-1467.43512711017,1094.21026195384,1207.99999999997,105.000000025782,302,25
1255172,-52.7925411307248,1199.21026197962,1509.99999999997,-77.7925411307251,1094.21026195384,1207.99999999997,105.000000025782,302,25
1255175,-1442.43512711017,1199.21026197962,1811.99999999997,-1467.43512711017,1094.21026195384,1509.99999999997,105.000000025782,302,25
1255178,-52.7925411307248,1199.21026197962,1811.99999999997,-77.7925411307251,1094.21026195384,1509.99999999997,105.000000025782,302,25
1255181,-1442.43512711017,1199.21026197962,2113.99999999997,-1467.43512711017,1094.21026195384,1811.99999999997,105.000000025782,302,25
1255184,-52.7925411307248,1199.21026197962,2113.99999999997,-77.7925411307251,1094.21026195384,1811.99999999997,105.000000025782,302,25
1255187,-1442.43512711017,1199.21026197962,2415.99999999997,-1467.43512711017,1094.21026195384,2113.99999999997,105.000000025782,302,25
1255190,-52.7925411307248,1199.21026197962,2415.99999999997,-77.7925411307251,1094.21026195384,2113.99999999997,105.000000025782,302,25
1255193,-1442.43512711017,1199.21026197962,2717.99999999997,-1467.43512711017,1094.21026195384,2415.99999999997,105.000000025782,302,25
1255196,-52.7925411307248,1199.21026197962,2717.99999999997,-77.7925411307251,1094.21026195384,2415.99999999997,105.000000025782,302,25
1255199,-1442.43512711017,1199.21026197962,3019.99999999997,-1467.43512711017,1094.21026195384,2717.99999999997,105.000000025782,302,25
1255202,-52.7925411307248,1199.21026197962,3019.99999999997,-77.7925411307251,1094.21026195384,2717.99999999997,105.000000025782,302,25
1255205,-1442.43512711017,1199.21026197962,3321.99999999997,-1467.43512711017,1094.21026195384,3019.99999999997,105.000000025782,302,25
1255208,-52.7925411307248,1199.21026197962,3321.99999999997,-77.7925411307251,1094.21026195384,3019.99999999997,105.000000025782,302,25
1255211,-1442.43512711017,1199.21026197962,3623.99999999997,-1467.43512711017,1094.21026195384,3321.99999999997,105.000000025782,302,25
1255214,-52.7925411307248,1199.21026197962,3623.99999999997,-77.7925411307251,1094.21026195384,3321.99999999997,105.000000025782,302,25
1256996,-1146.29558265568,-527.018660477232,3926,-1369.18780346403,-537.018660477328,3624,222.892220808347,302,10
1257372,-459.664419269853,-161.018660476933,3939,-479.664419269854,-341.018660476931,3624,179.999999999997,315,20
1258010,-456.785582655686,-454.018660476933,3926,-618.665567775927,-469.018660476934,3624,161.879985120241,302,15
1259081,-52.7925411307227,1199.23475870783,3926,-77.7925411307229,1099.23475870783,3624,100,302,25
1259247,-1442.16575199685,1199.23475870783,3926,-1467.16575199685,1099.23475870783,3624,100,302,25
1263568,-355.224624941294,-161.018660476934,301.999999999974,-375.224624941294,-346.018660476931,-35.0000000000078,184.999999999997,336.999999999982,20
1265979,-52.7925411307251,1199.23475870783,301.999999999992,-77.7925411307252,1094.23475870783,-7.79664333094843E-12,105,302,25
1267984,-1300.18780346403,-542.018660476928,301.999999999992,-1369.18780346403,-552.018660476928,-7.79664333094843E-12,68.9999999999977,302,10
1294293,-1705.04780346403,-426.445974919958,301.999999999992,-1810.04780346403,-451.445974919959,-7.79664333094843E-12,95.0000000000003,302,25
1295061,370.418819364292,-441.445974919963,905.999999999967,190.42029898432,-451.445974919963,603.999999999967,179.998520379972,302,10
1296242,370.418819364292,-441.445974919963,1207.99999999997,190.42029898432,-451.445974919963,905.999999999967,179.998520379972,302,10
1296246,370.418819364292,-441.445974919963,1509.99999999997,190.42029898432,-451.445974919963,1207.99999999997,179.998520379972,302,10
1296250,370.418819364292,-441.445974919963,1811.99999999997,190.42029898432,-451.445974919963,1509.99999999997,179.998520379972,302,10
1296254,370.418819364292,-441.445974919963,2113.99999999997,190.42029898432,-451.445974919963,1811.99999999997,179.998520379972,302,10
1296258,370.418819364292,-441.445974919963,2415.99999999997,190.42029898432,-451.445974919963,2113.99999999997,179.998520379972,302,10
1296262,370.418819364292,-441.445974919963,2717.99999999997,190.42029898432,-451.445974919963,2415.99999999997,179.998520379972,302,10
1296266,370.418819364292,-441.445974919963,3019.99999999997,190.42029898432,-451.445974919963,2717.99999999997,179.998520379972,302,10
1296270,370.418819364292,-441.445974919963,3321.99999999997,190.42029898432,-451.445974919963,3019.99999999997,179.998520379972,302,10
1296274,370.418819364292,-441.445974919963,3623.99999999997,190.42029898432,-451.445974919963,3321.99999999997,179.998520379972,302,10
1315817,-1995.37711249186,-441.445974919957,3926,-2067.87711249186,-451.445974919957,3624,72.4999999999999,302,10
1315818,-1705.37859211189,-206.445974919958,3894,-1715.37859211189,-446.445974919958,3624,240,269.999999999999,10
1337195,-1810.04780346403,-426.445974919958,301.999999999992,-2067.87711249186,-451.445974919958,-7.79664333094843E-12,257.829309027826,302,25
1337620,-1369.18780346403,-501.018660476939,301.999999999992,-1725.04780346403,-521.01866047694,-7.79664333094843E-12,345.860000000002,302,20
1339288,-1604.02453070161,-6.00144201040562,301.999999999992,-1624.02453070161,-186.001442010406,-1.0000000000078,180,303,20
1339325,-1369.18780346403,-176.001442010405,301.999999999992,-1725.04780346403,-196.001442010407,-7.79664333094843E-12,345.860000000002,302,20
